question,expected_keyword,model,valid,retries,agent1_time,graphdb_time,agent2_time,agent3_time,total_time,sparql,raw_results,answer,keyword_hit,answer_length_words,,,,,,,
What are all the treatments available for skin cancer?,Immunotherapy,medgemma-original,TRUE,1,12.88,0.06,12.63,10.59,36.16,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { ?cancer sc:treatedWith ?treatment }","Cryotherapy
TopicalTherapy
Cryotherapy
MohsSurgery
RadiationTherapy
SurgicalExcision
Chemotherapy
Immunotherapy
SurgicalExcision
Chemotherapy
RadiationTherapy
SurgicalExcision
TopicalTherapy
SurgicalExcision
SurgicalExcision
SurgicalExcision
Immunotherapy
MohsSurgery","There are several ways to treat skin cancer depending on the type and stage of the cancer. Common treatments include surgical removal (like Mohs surgery), freezing with liquid nitrogen (cryotherapy), using topical medications, radiation therapy, chemotherapy, or immunotherapy.",TRUE,38,,,,,,,
What skin cancers can be treated with cryotherapy?,ActinicKeratosis,medgemma-original,TRUE,0,6.51,0.03,11.62,7.92,26.08,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?cancer WHERE { ?cancer sc:treatedWith sc:Cryotherapy }","ActinicKeratosis
BasalCellCarcinoma",Cryotherapy is often used to treat Actinic Keratosis and Basal Cell Carcinoma. These are types of skin cancer that can be removed by freezing them off with liquid nitrogen.,TRUE,29,,,,,,,
What are the symptoms of melanoma?,Asymmetry,medgemma-original,TRUE,0,6.68,0.03,2.63,10.47,19.8,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?symptom WHERE { sc:Melanoma sc:hasSymptom ?symptom }","Asymmetry
Bleeding
ColorVariation
DiameterChange
IrregularBorder","Melanoma often presents with symptoms that are easy to remember using the acronym ABCDE: Asymmetry means one half of the mole doesn't match the other. Bleeding indicates if there is any leakage from the mole. ColorVariation refers to uneven colors within the mole, like shades of brown or black. DiameterChange alerts you to a mole getting bigger than 6mm across. IrregularBorder signals if the edges are notched, blurred, or ragged.",TRUE,70,,,,,,,
What are the symptoms of basal cell carcinoma?,PearlAppearance,medgemma-original,TRUE,1,14.59,0.05,13.97,8.13,36.74,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?symptom WHERE { sc:BasalCellCarcinoma sc:hasSymptom ?symptom }","Bleeding
Elevation
OpenSore
PearlAppearance",Basal cell carcinoma often presents with symptoms like a bleeding sore that might be elevated and have a pearly appearance. This type of skin cancer can also appear as an open wound that doesn't heal properly.,TRUE,36,,,,,,,
How is melanoma treated?,Immunotherapy,medgemma-original,TRUE,0,7.1,0.02,10.62,8.68,26.42,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { sc:Melanoma sc:treatedWith ?treatment }","Chemotherapy
Immunotherapy
SurgicalExcision","Melanoma is treated with several options depending on its stage and how far it has spread. Common treatments include surgery to remove the cancerous tissue, chemotherapy to kill cancer cells throughout the body, and immunotherapy to help your immune system fight the melanoma.",TRUE,43,,,,,,,
How is basal cell carcinoma treated?,MohsSurgery,medgemma-original,TRUE,0,6.78,0.02,9.53,11.88,28.21,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { sc:BasalCellCarcinoma sc:treatedWith ?treatment }","Cryotherapy
MohsSurgery
RadiationTherapy
SurgicalExcision","Basal cell carcinoma is usually treated with surgical excision to remove the affected skin. Other options include cryotherapy (freezing), Mohs surgery (a precise technique that removes the cancer and surrounding tissue layer by layer), or radiation therapy. The best choice depends on the size, location, and type of the cancer.",TRUE,50,,,,,,,
How is squamous cell carcinoma treated?,SurgicalExcision,medgemma-original,TRUE,0,6.99,0.02,9.46,8.25,24.72,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { sc:SquamousCellCarcinoma sc:treatedWith ?treatment }","Chemotherapy
RadiationTherapy
SurgicalExcision
TopicalTherapy","Squamous cell carcinoma is treated with several options depending on the size and location of the cancer. Common treatments include surgical removal (surgical excision), radiation therapy, chemotherapy, and sometimes topical medications applied directly to the skin.",TRUE,36,,,,,,,
What are the risk factors for melanoma?,UVExposure,medgemma-original,TRUE,0,8.51,0.08,14.26,12.34,35.19,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?cancer ?risk WHERE { 
  ?cancer rdfs:subClassOf sc:SkinCancer .
  ?cancer sc:hasRiskFactor ?risk 
}","ActinicKeratosis
FairSkin
ActinicKeratosis
UVExposure
BasalCellCarcinoma
FairSkin
BasalCellCarcinoma
PreviousSkinCancer
BasalCellCarcinoma
UVExposure
Melanoma
FairSkin
Melanoma
FamilyHistory
Melanoma
UVExposure
SquamousCellCarcinoma
ChemicalExposure
SquamousCellCarcinoma
ImmunosuppressedSystem
SquamousCellCarcinoma
Smoking
SquamousCellCarcinoma
UVExposure","Okay, here's some information about melanoma risk factors:

Fair skin is a major risk factor. Exposure to ultraviolet (UV) light also increases your chances of developing it. A family history of melanoma can also make you more susceptible, and even certain immune system conditions or smoking habits can play a role.",TRUE,51,,,,,,,
What are the risk factors for skin cancer?,UVExposure,medgemma-original,TRUE,0,8.47,0.02,14.48,11.89,34.86,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?cancer ?risk WHERE { 
  ?cancer rdfs:subClassOf sc:SkinCancer .
  ?cancer sc:hasRiskFactor ?risk 
}","ActinicKeratosis
FairSkin
ActinicKeratosis
UVExposure
BasalCellCarcinoma
FairSkin
BasalCellCarcinoma
PreviousSkinCancer
BasalCellCarcinoma
UVExposure
Melanoma
FairSkin
Melanoma
FamilyHistory
Melanoma
UVExposure
SquamousCellCarcinoma
ChemicalExposure
SquamousCellCarcinoma
ImmunosuppressedSystem
SquamousCellCarcinoma
Smoking
SquamousCellCarcinoma
UVExposure","Okay, here's some information about skin cancer risk factors:

Sun exposure is a big one, and people with fair skin are more susceptible. A history of sun damage, previous skin cancers, family history, certain chemicals, or even being immunocompromised can also increase your risk.",TRUE,44,,,,,,,
What types of skin cancer exist?,Melanoma,medgemma-original,TRUE,0,6.62,0.03,10.24,10.02,26.92,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?type WHERE { ?type rdfs:subClassOf sc:SkinCancer }","ActinicKeratosis
BasalCellCarcinoma
NonMelanomaCancer
Melanoma
SquamousCellCarcinoma","Okay, there are several types of skin cancer we need to know about. The most common ones include Actinic Keratosis, Basal Cell Carcinoma, and Squamous Cell Carcinoma, all considered Non-Melanoma Cancers. Melanoma is another type that's more serious.",TRUE,38,,,,,,,
How is melanoma diagnosed?,Biopsy,medgemma-original,TRUE,0,6.46,0.02,9.97,9.53,25.98,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?method WHERE { sc:Melanoma sc:diagnosedBy ?method }","Biopsy
Dermoscopy","Melanoma is usually diagnosed through a skin biopsy where a small sample of the suspicious area is removed and examined under a microscope. Dermoscopy, which involves using a special magnifying device to look at the mole's surface features, is often used in conjunction with the biopsy for more detailed analysis.",TRUE,50,,,,,,,
How is skin cancer diagnosed?,Biopsy,medgemma-original,TRUE,0,6.62,0.02,10.72,10.8,28.16,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?method WHERE { sc:Melanoma sc:diagnosedBy ?method }","Biopsy
Dermoscopy","Skin cancer is often diagnosed with a **biopsy**. A small sample of skin is taken and examined under a microscope to see if it's cancerous. Sometimes, a **dermoscopy** is also used; this is like a magnifying glass that helps doctors examine the skin closely for suspicious spots.",TRUE,47,,,,,,,
Where does melanoma commonly appear?,Back,medgemma-original,TRUE,0,7.1,0.04,11.14,9.53,27.81,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?region WHERE { sc:Melanoma sc:commonlyFoundOn ?region }","Arms
Back
Legs","Melanoma is often found on areas exposed to the sun's rays, such as the arms. It can also appear on the back, legs, and even the face. Regularly checking your skin for any new moles or changes in existing ones is important for early detection.",TRUE,45,,,,,,,
Where does basal cell carcinoma commonly appear?,Face,medgemma-original,TRUE,0,7.08,0.02,9.64,8.58,25.31,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?region WHERE { sc:BasalCellCarcinoma sc:commonlyFoundOn ?region }","Face
Neck
Scalp","Basal cell carcinoma is most often found on sun-exposed areas of the body. Common locations include the face, neck, and scalp. These areas receive direct sunlight over time, increasing the risk for this type of skin cancer.",TRUE,37,,,,,,,
What symptoms does squamous cell carcinoma cause?,ScalyPatch,medgemma-original,TRUE,0,7.26,0.04,10.27,7.89,25.46,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?symptom WHERE { sc:SquamousCellCarcinoma sc:hasSymptom ?symptom }","Bleeding
Itching
OpenSore
ScalyPatch","Squamous cell carcinoma can cause bleeding, itching, open sores, and scaly patches on the skin. These are signs that something is not right and you should see a doctor for an evaluation.",TRUE,32,,,,,,,
What are the treatments for actinic keratosis?,Cryotherapy,medgemma-original,TRUE,0,6.91,0.04,10.17,8.46,25.57,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { sc:ActinicKeratosis sc:treatedWith ?treatment }","Cryotherapy
TopicalTherapy","Actinic keratosis treatments include cryotherapy and topical therapy. Cryotherapy involves freezing off the abnormal skin cells, while topical therapies use creams or lotions to destroy them directly on the skin's surface.",TRUE,31,,,,,,,
What are the risk factors for squamous cell carcinoma?,Smoking,medgemma-original,TRUE,0,7.33,0.03,10.61,7.11,25.09,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?risk WHERE { sc:SquamousCellCarcinoma sc:hasRiskFactor ?risk }","ChemicalExposure
ImmunosuppressedSystem
Smoking
UVExposure","Squamous cell carcinoma is linked to several factors. These include exposure to certain chemicals, being immunosuppressed, smoking, and excessive sun exposure.",TRUE,21,,,,,,,
Is smoking a risk factor for basal cell carcinoma?,UVExposure,medgemma-original,TRUE,0,7.18,0.02,10.25,9.29,26.74,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?risk WHERE { sc:BasalCellCarcinoma sc:hasRiskFactor ?risk }","FairSkin
PreviousSkinCancer
UVExposure","Yes, smoking is considered a risk factor for basal cell carcinoma (BCC). The FairSkin knowledge base suggests that smoking can increase your chances of developing BCC. UVExposure may also play a role in skin cancer development, including BCC.",TRUE,38,,,,,,,
Which skin cancers are treated with immunotherapy?,Melanoma,skincancer-llama,TRUE,0,6.1,0.02,2.71,53.51,62.34,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?cancer WHERE { ?cancer sc:treatedWith sc:Immunotherapy }",Melanoma,"Immunotherapy is a treatment approach that uses the body's immune system to fight cancer. For melanoma, this therapy can help target and destroy cancer cells more effectively. This is particularly important for advanced cases where other treatments may not be as effective.",TRUE,42,,,,,,,
Which skin cancers commonly appear on the face?,BasalCellCarcinoma,skincancer-llama,TRUE,0,9.13,0.57,2.44,18.28,30.43,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?cancer WHERE { ?cancer sc:commonlyFoundOn sc:Face }","ActinicKeratosis
BasalCellCarcinoma
SquamousCellCarcinoma","The face is a common location for certain skin cancers. Actinic Keratosis, Basal Cell Carcinoma, and Squamous Cell Carcinoma often appear on sun-exposed areas like the face. While these can be precancerous or cancerous, early detection and treatment are crucial for successful outcomes.",TRUE,43,,,,,,,
Which cancers have UV exposure as a risk factor?,Melanoma,skincancer-llama,TRUE,0,7.28,0.02,4.2,17.19,28.69,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?cancer WHERE { ?cancer sc:hasRiskFactor sc:UVExposure }","ActinicKeratosis
BasalCellCarcinoma
Melanoma
SquamousCellCarcinoma","UV exposure is a significant risk factor for several types of skin cancer. These include Actinic Keratosis, Basal Cell Carcinoma, Melanoma, and Squamous Cell Carcinoma. While prevention measures like sunscreen can reduce the risk, early detection and treatment are crucial for managing these cancers effectively.",TRUE,45,,,,,,,
What are all the treatments available for skin cancer?,Immunotherapy,skincancer-llama,TRUE,1,13.41,0.05,2.35,19.77,35.58,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { ?cancer sc:treatedWith ?treatment }","Cryotherapy
TopicalTherapy
Cryotherapy
MohsSurgery
RadiationTherapy
SurgicalExcision
Chemotherapy
Immunotherapy
SurgicalExcision
Chemotherapy
RadiationTherapy
SurgicalExcision
TopicalTherapy
SurgicalExcision
SurgicalExcision
SurgicalExcision
Immunotherapy
MohsSurgery","There are several treatment options available for skin cancer, depending on the type and location of the lesion. These include methods like cryotherapy, topical therapy, Mohs surgery, radiation therapy, surgical excision, chemotherapy, immunotherapy, and more. Each of these approaches is designed to remove or manage the cancerous cells effectively.",TRUE,49,,,,,,,
What skin cancers can be treated with cryotherapy?,ActinicKeratosis,skincancer-llama,TRUE,0,6.64,0.04,3.36,16.34,26.37,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?cancer WHERE { ?cancer sc:treatedWith sc:Cryotherapy }","ActinicKeratosis
BasalCellCarcinoma","Actinic keratoses and Basal Cell Carcinoma are skin cancers that can be treated with cryotherapy. This treatment involves freezing the abnormal cells to prevent them from growing further. While cryotherapy is effective for these types of lesions, it's essential to monitor them for any changes over time.",TRUE,47,,,,,,,
What are the symptoms of melanoma?,Asymmetry,skincancer-llama,TRUE,0,6.74,0.03,2.67,14.05,23.5,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?symptom WHERE { sc:Melanoma sc:hasSymptom ?symptom }","Asymmetry
Bleeding
ColorVariation
DiameterChange
IrregularBorder","Melanoma is often characterized by changes in its appearance. These changes can include an irregular border, asymmetry, and variations in color such as bleeding or dark spots. While a growth that changes in diameter or develops new features can also be concerning.",TRUE,42,,,,,,,
What are the symptoms of basal cell carcinoma?,PearlAppearance,skincancer-llama,TRUE,0,7.27,0.04,4.12,10.67,22.09,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?symptom WHERE { sc:BasalCellCarcinoma sc:hasSymptom ?symptom }","Bleeding
Elevation
OpenSore
PearlAppearance","Basal cell carcinoma often presents with symptoms like bleeding and elevation. These changes in appearance can occur on the skin and may resemble an open sore or a raised, pearly lesion.",TRUE,31,,,,,,,
How is melanoma treated?,Immunotherapy,skincancer-llama,TRUE,0,8.15,0.02,3.77,14.21,26.15,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { sc:Melanoma sc:treatedWith ?treatment }","Chemotherapy
Immunotherapy
SurgicalExcision","Melanoma is typically treated with surgery to remove the cancerous cells. In some cases, additional treatments like chemotherapy or immunotherapy may be recommended to ensure all cancerous cells are eliminated. These treatments work together to help control and potentially cure the melanoma.",TRUE,42,,,,,,,
How is basal cell carcinoma treated?,MohsSurgery,skincancer-llama,TRUE,0,7.2,0.04,2.97,17.6,27.81,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { sc:BasalCellCarcinoma sc:treatedWith ?treatment }","Cryotherapy
MohsSurgery
RadiationTherapy
SurgicalExcision","Basal cell carcinoma is typically treated with surgical excision, where the affected area is removed and then reattached. Other treatment options include Mohs surgery, which precisely removes cancerous cells while preserving healthy tissue, and radiation therapy, which uses high-energy rays to kill cancer cells. Cryotherapy involves freezing the cancer cells to destroy them.",TRUE,53,,,,,,,
How is squamous cell carcinoma treated?,SurgicalExcision,skincancer-llama,TRUE,0,7.03,0.04,5.09,15.88,28.03,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { sc:SquamousCellCarcinoma sc:treatedWith ?treatment }","Chemotherapy
RadiationTherapy
SurgicalExcision
TopicalTherapy","Squamous cell carcinoma can be treated with various methods depending on the severity and location of the cancer. Common treatments include chemotherapy to kill cancer cells, radiation therapy to destroy malignant tissue, surgical excision where the affected skin is removed, or topical therapy directly applied to the skin to combat the disease.",TRUE,52,,,,,,,
What are the risk factors for melanoma?,UVExposure,skincancer-llama,TRUE,0,8.97,0.03,3.94,22.35,35.29,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?cancer ?risk WHERE { 
  ?cancer rdfs:subClassOf sc:SkinCancer .
  ?cancer sc:hasRiskFactor ?risk 
}","ActinicKeratosis
FairSkin
ActinicKeratosis
UVExposure
BasalCellCarcinoma
FairSkin
BasalCellCarcinoma
PreviousSkinCancer
BasalCellCarcinoma
UVExposure
Melanoma
FairSkin
Melanoma
FamilyHistory
Melanoma
UVExposure
SquamousCellCarcinoma
ChemicalExposure
SquamousCellCarcinoma
ImmunosuppressedSystem
SquamousCellCarcinoma
Smoking
SquamousCellCarcinoma
UVExposure","To develop melanoma, several risk factors come into play. These include having fair skin, a history of sun exposure, previous skin cancers like actinic keratosis or basal cell carcinoma, and certain genetic predispositions such as family history. Additionally, being immunosuppressed due to medical treatment or having conditions that increase sun sensitivity can also elevate the risk.",TRUE,56,,,,,,,
What are the risk factors for skin cancer?,UVExposure,skincancer-llama,TRUE,0,8.4,0.05,3.87,20.76,33.08,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?cancer ?risk WHERE { 
  ?cancer rdfs:subClassOf sc:SkinCancer .
  ?cancer sc:hasRiskFactor ?risk 
}","ActinicKeratosis
FairSkin
ActinicKeratosis
UVExposure
BasalCellCarcinoma
FairSkin
BasalCellCarcinoma
PreviousSkinCancer
BasalCellCarcinoma
UVExposure
Melanoma
FairSkin
Melanoma
FamilyHistory
Melanoma
UVExposure
SquamousCellCarcinoma
ChemicalExposure
SquamousCellCarcinoma
ImmunosuppressedSystem
SquamousCellCarcinoma
Smoking
SquamousCellCarcinoma
UVExposure","The risk factors for skin cancer include having fair skin, a history of previous skin cancer, and exposure to ultraviolet (UV) radiation. Other risk factors can be genetic, such as a family history, or environmental, like smoking and certain chemicals. These factors can increase the likelihood of developing various types of skin cancer.",TRUE,53,,,,,,,
What types of skin cancer exist?,Melanoma,skincancer-llama,TRUE,0,6.6,0.02,5.01,18.21,29.84,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?type WHERE { ?type rdfs:subClassOf sc:SkinCancer }","ActinicKeratosis
BasalCellCarcinoma
NonMelanomaCancer
Melanoma
SquamousCellCarcinoma","There are several types of skin cancer. These include Basal Cell Carcinoma, Melanoma, and Non-Melanoma Cancer, which encompass various subtypes like Squamous Cell Carcinoma. Actinic Keratosis is also considered a precancerous lesion that can potentially develop into these skin cancers if left untreated.",TRUE,43,,,,,,,
How is melanoma diagnosed?,Biopsy,skincancer-llama,TRUE,0,6.76,0.02,3.5,15.32,25.6,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?method WHERE { sc:Melanoma sc:diagnosedBy ?method }","Biopsy
Dermoscopy","Diagnosing melanoma typically involves a biopsy, where a sample of skin tissue is examined for cancerous cells. Dermoscopy, a non-invasive skin examination technique, can also provide suspicious findings that may prompt a biopsy. This helps confirm the presence of melanoma and guide treatment decisions.",TRUE,44,,,,,,,
How is skin cancer diagnosed?,Biopsy,skincancer-llama,TRUE,0,6.69,0.03,3.66,19.35,29.73,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?method WHERE { sc:Melanoma sc:diagnosedBy ?method }","Biopsy
Dermoscopy","Diagnosing skin cancer typically involves a combination of clinical evaluation and additional testing. The most definitive way to confirm the presence of skin cancer is through a biopsy, where a sample of tissue is examined under a microscope. Dermoscopy, also known as skin scraping or impression cytology, can provide further clues about the type of skin cancer present.",TRUE,58,,,,,,,
Where does melanoma commonly appear?,Back,skincancer-llama,TRUE,0,6.99,0.04,3.65,15.67,26.34,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?region WHERE { sc:Melanoma sc:commonlyFoundOn ?region }","Arms
Back
Legs","Melanoma is a type of skin cancer that commonly develops on sun-exposed areas like the arms, back, and legs. These are the most frequent sites where melanoma appears, although it can occur elsewhere on the body. Early detection and treatment are crucial for a good prognosis in melanoma cases.",TRUE,49,,,,,,,
Where does basal cell carcinoma commonly appear?,Face,skincancer-llama,TRUE,0,7.03,0.02,3.75,14.58,25.38,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?region WHERE { sc:BasalCellCarcinoma sc:commonlyFoundOn ?region }","Face
Neck
Scalp","Basal cell carcinoma most commonly appears on sun-exposed areas of the body. The face is a frequent site, along with other areas like the neck and scalp. These locations are prone to ultraviolet radiation, which can contribute to the development of this type of skin cancer.",TRUE,46,,,,,,,
What symptoms does squamous cell carcinoma cause?,ScalyPatch,skincancer-llama,TRUE,0,7.1,0.02,4.59,16.09,27.8,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?symptom WHERE { sc:SquamousCellCarcinoma sc:hasSymptom ?symptom }","Bleeding
Itching
OpenSore
ScalyPatch","Squamous cell carcinoma often presents with symptoms like itching, which can be a persistent or occasional sensation. It may also cause bleeding, especially when the skin is scratched or broken. In some cases, an open sore or a scaly patch on the skin can be a sign of this type of cancer.",TRUE,52,,,,,,,
What are the treatments for actinic keratosis?,Cryotherapy,skincancer-llama,TRUE,0,7.25,0.02,3.56,19.33,30.16,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?treatment WHERE { sc:ActinicKeratosis sc:treatedWith ?treatment }","Cryotherapy
TopicalTherapy","Actinic keratosis is typically treated with cryotherapy, which involves freezing the abnormal cells to prevent them from developing into skin cancer. Topical therapy is another common approach, where medications are applied directly to the affected area to remove the precancerous lesions. These treatments aim to eliminate the actinic keratosis and reduce the risk of progression to squamous cell carcinoma.",TRUE,59,,,,,,,
What are the risk factors for squamous cell carcinoma?,Smoking,skincancer-llama,TRUE,0,6.99,0.04,4,19.69,30.72,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?risk WHERE { sc:SquamousCellCarcinoma sc:hasRiskFactor ?risk }","ChemicalExposure
ImmunosuppressedSystem
Smoking
UVExposure","Squamous cell carcinoma is often associated with several key risk factors. These include exposure to certain chemicals like pesticides and certain heavy metals, being immunosuppressed due to organ transplants or conditions like HIV/AIDS, and significant sun exposure from UV rays. Additionally, smoking is also a well-documented risk factor for developing this type of skin cancer.",TRUE,55,,,,,,,
Is smoking a risk factor for basal cell carcinoma?,UVExposure,skincancer-llama,TRUE,0,7.26,0.04,3,16.86,27.17,"PREFIX sc: <http://www.semanticweb.org/skincancer_exp#>
SELECT ?risk WHERE { sc:BasalCellCarcinoma sc:hasRiskFactor ?risk }","FairSkin
PreviousSkinCancer
UVExposure","Yes, smoking is considered a risk factor for basal cell carcinoma. While Basal Cell Carcinoma is often associated with sun exposure and Fair Skin, other factors like Smoking can increase the likelihood of developing this type of skin cancer. UV Exposure is also a significant risk, but so are other environmental and lifestyle elements.",TRUE,54,,,,,,,
